157.55.39.16 - - [29/Jan/2018:16:48:48 -0800] "GET / HTTP/1.1" 403 255 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.consur.com"
38.142.119.114 - - [29/Jan/2018:16:59:59 -0800] "GET / HTTP/1.1" 403 255 "-" "-" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:04 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:04 -0800] "GET / HTTP/1.1" 200 14412 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:07 -0800] "GET /index.html HTTP/1.1" 200 14412 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:09 -0800] "GET /inicio.html HTTP/1.1" 200 14070 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:11 -0800] "GET /about_us.html HTTP/1.1" 200 10230 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:17 -0800] "GET /contact.html HTTP/1.1" 200 13492 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:21 -0800] "GET /accidentes.html HTTP/1.1" 200 11814 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
198.27.80.144 - - [29/Jan/2018:17:22:23 -0800] "GET /phone/index.html?devicelock=phone HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.consur.com"
5.102.173.71 - - [29/Jan/2018:19:08:06 -0800] "GET / HTTP/1.1" 200 14412 "-" "Mozilla/5.0 (compatible; MojeekBot/0.6; +https://www.mojeek.com/bot.html)" "www.consur.com"
199.58.86.209 - - [29/Jan/2018:19:19:07 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "www.consur.com"
77.75.76.164 - - [29/Jan/2018:19:56:45 -0800] "GET /about_us.html HTTP/1.1" 200 10230 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)" "consur.com"
5.196.87.67 - - [29/Jan/2018:19:56:58 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)" "www.consur.com"
54.36.148.208 - - [29/Jan/2018:19:56:59 -0800] "GET /misstaxiinternacional/candidatas.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)" "www.consur.com"
216.244.66.199 - - [29/Jan/2018:20:51:09 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.consur.com"
64.209.132.7 - - [29/Jan/2018:21:03:32 -0800] "GET / HTTP/1.1" 200 14412 "www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36" "www.consur.com"
23.27.237.231 - - [29/Jan/2018:21:29:10 -0800] "GET /about_us.html HTTP/1.1" 200 10230 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0" "consur.com"
54.84.19.126 - - [29/Jan/2018:21:44:18 -0800] "GET / HTTP/1.1" 200 14412 "-" "Mozilla/5.0 (Windows NT 6.1; rv:27.3) Gecko/20130101 Firefox/27.3" "consur.com"
216.244.66.199 - - [29/Jan/2018:21:45:21 -0800] "GET /inicio.html HTTP/1.1" 200 14070 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.consur.com"
91.184.138.88 - - [29/Jan/2018:23:10:14 -0800] "GET / HTTP/1.1" 200 14412 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36" "consur.com"
